	Cancer_cells	Stromal_cells	Macro/mono_Lineage	Bcells	Regulatory_CD4_Tcells	CD4_Tcells	Proliferative_Tcells	NK_cells	CD8_Tcells
LYN	5357.27944549023	1416.51898574358	6066.5274487975	1617.68189252833	10.03152001461	32.9412360209643	112.787702529109	368.295261758113	24.6387732801338
SAMHD1	3300.97029871803	2725.67526343418	7170.95600435003	102.757368776588	586.223868604826	473.204806412402	829.09370099793	189.852566585446	167.187964984042
TPP1	8493.40922844163	5428.88730297257	8503.50395407359	850.921528006947	607.857934428439	379.067870803732	766.490824971711	362.539996393128	275.250596471762
GRINA	16427.7178525752	5108.73104095403	7051.49996324681	216.801728110297	276.849791568706	102.630559852388	309.561873594291	114.716490654251	80.2910561257453
APLP2	35913.2268025413	13850.6810091974	11066.1904137726	398.546897622457	529.882070322719	226.287138329285	1209.47713722765	260.315969103464	284.718404702105
ETS2	47323.8442218072	11560.3203177682	9085.0541984675	66.1199521129563	138.597205842452	131.627806787662	521.996482287725	71.3613195758131	174.970594522065
PPT1	8164.64518706712	6133.72081830707	9353.15599146346	220.777238578852	433.335097886082	345.387836834079	2004.93766253608	202.927284801126	408.74304608177
GK	5251.38858877168	1120.06703505546	5210.77508477615	31.3926995468165	598.001789903438	144.720200032583	601.751962683071	31.0492686538289	40.8545431920759
ATP6V0B	51550.2126830594	13637.0122475349	19055.8137698942	1208.81092751341	1078.9170862165	1078.57840068994	3200.68814299676	893.551713032277	815.347538484408
HIF1A	7299.11247273847	13689.5888964971	11582.9645822799	754.171748685357	501.423022204385	583.576190708648	1596.40072861661	426.361195921111	343.368106827639
ACP5	2264.36521364791	2843.77922959056	19787.1795282092	803.496322014531	1220.11780168905	388.538484381771	1896.86496208058	477.347061990859	703.823923651261
ATP13A3	5493.81307366999	2985.32419116311	4911.58038704554	139.953915577057	270.029249716502	63.7312765012889	744.05920910345	50.6605079295817	104.073278500154
SLC16A3	16691.3922050404	8185.650851008	9231.82395921987	356.242186823101	323.201642933175	437.699974410051	1532.20039508653	1049.05161841772	264.044171578314
HBEGF	29067.4494584493	2749.29641913185	8366.25365389067	147.796515549989	86.2680481275975	46.4898224848745	154.4844514168	22.8316391142757	55.7654474886751
SRGN	6672.11711761027	19706.6094932073	139188.286927998	5625.48551622475	22264.1724975421	18347.1217392326	33219.8824577042	19055.5244366759	13578.4360848009
ABL2	3663.39761700429	12662.5172789037	5023.96945378124	122.533448326287	77.6072754642395	65.9614188853061	115.177444275203	50.1629555766587	101.273582403465
ACSL1	3206.43658257187	973.362569448532	3414.35893216684	216.61268655334	101.827416962614	57.3906478745732	405.55195674966	60.817661080437	91.2132510051717
AP2S1	44767.3127067933	26232.8343369782	17789.2100652793	745.071341946571	1194.34147096079	877.645689029733	5211.95316232961	894.651079398508	733.460454192118
RNASE1	17630.8429670766	18961.6923501859	32515.9127633305	38.0026550603089	48.3288935608893	63.2519489095017	134.388045039809	60.6665136337641	42.4200304103823
GSTO1	37195.0932154172	19193.4481117755	15050.9363855461	637.722915554803	939.92826502987	896.352709467577	4184.7943124997	806.53472632327	846.139606310513
PLIN2	18408.7645100319	6496.75608322195	13507.7268819095	333.155874792939	1414.93291936017	1171.17248442602	2079.70195713788	349.877824126926	416.584620134059
BRI3	37574.5829174321	10191.5552843357	8375.24179785981	181.091217658668	189.357619176195	151.496972973184	500.610390664241	176.226598924716	98.194231088269
PPIF	14018.0569760276	2880.44801896073	7891.48518182442	201.672194091902	202.753424261406	145.301149961464	1095.00241654482	176.921989466728	161.146695022749
KLF4	43280.11843921	12675.8011085575	8500.13585284266	102.670747873646	116.288969104819	86.1914445847949	168.2345756396	104.883955902506	66.759377174095
VEGFA	24246.0170007609	3351.48525136417	6183.95327505253	16.0421697582357	43.9010756590182	40.5946255358452	79.4876332450222	175.160435076063	17.6399462265
LIPA	4462.23179553543	3166.33236240439	8745.73944619624	252.723078062125	237.674994997355	320.061244611576	564.324342901608	153.620623664796	158.058044575018
UPP1	11686.0880266091	6057.95092153231	7485.12441813095	94.3827948045658	404.361765424654	576.592873481806	1558.60697158943	663.119352090258	309.766037583952
LCP2	374.054595386564	1165.38747316884	6847.47552263212	161.921595245474	763.643478657703	525.778631728693	2010.3108206267	498.294173562182	525.746993578063
ZEB2	330.353802494755	6349.33236753518	8058.9222599451	669.298008426851	186.44518088526	663.374851876203	1753.06791732469	1022.50506832598	762.732069990989
ITGB2	740.04730093753	377.200458346804	15004.6597949703	570.10855166068	1447.07464992448	923.067968298265	4164.82074919904	1987.47795230885	1505.85292358113
ATOX1	36519.2661336532	24370.0157169134	16371.34193808	522.890634257833	1088.35352297258	542.499913239744	2691.7525478158	557.363010089991	386.767569775656
PLD3	8931.25896225448	9892.73580867418	11853.3737441856	292.008605953771	277.034755374779	236.700009512581	513.428788292555	191.158577535341	199.150706217459
RBM47	20548.6503598379	273.953509982889	4359.05148519469	62.0395909693722	37.9335261182816	26.4269782778655	179.86001475954	7.84700535611176	19.3387092649706
RNF13	7457.50260490481	4356.43788365349	5255.69373084347	315.984496100647	234.395930828839	157.194956305154	551.50309022343	292.468253561289	177.16665388115
STX11	406.662098443457	1227.17719982446	5123.26379749394	177.459537922962	576.586260998541	251.311392289714	1104.72604494555	258.561727326829	419.824999332472
FNDC3B	8312.06434492902	7483.434439396	4766.90687982605	48.604258321516	158.894450246699	52.4911533657177	118.582733327217	151.323670125423	49.5748426413853
VAMP8	60533.2643339498	2238.97587825255	24437.0245081422	1373.25308809277	2582.50656406192	1781.54531086233	5460.83652274965	1827.30388880044	1469.10157108055
GPX4	106689.88447783	35806.2289639617	28536.7038614614	2531.71193654027	2950.7890985288	2564.11589575577	8019.09034388643	1627.35735870359	1518.4755188756
IFNGR2	18087.3420705795	5375.39902602036	5577.35225133692	556.551674809014	195.998214141547	161.235705265454	41.1330234910717	39.3012320150619	35.2178167912828
CD44	28858.0184792672	13435.110740622	29180.7975992992	2672.36178290542	3792.23481084398	4077.71780284391	7087.76058010923	2589.17969040786	3044.53493630808
BASP1	464.494413263584	5962.97646172101	5969.64190101145	1162.89807390865	208.148741956251	31.8098866776912	322.168256750143	6.24504570845706	7.95006964616579
BLVRB	32492.6770689939	6574.28104271089	7262.65753901775	122.366137681294	122.711400249781	187.806087821225	682.720395787653	181.081420547088	101.934876445895
NFKBIA	74929.2687789885	76402.9191335596	72442.0399811813	5953.99223388247	9054.68732116851	7288.96084180691	12658.0200869496	6505.39876116287	3033.35106276376
GPR183	1511.67987550355	997.973505605697	24602.5073267401	3834.05351535007	1913.25277019795	2871.54418475401	2814.43789822032	576.65936679872	892.438643392117
MGAT1	9249.80466518788	7327.560938671	7255.38363030186	229.022677133564	463.147614926192	343.908832057336	1774.24055192025	607.932417807634	387.031128021957
LIMS1	9721.53032105778	13578.3592034431	9921.08582199248	265.979397469409	999.398952254487	926.410860408917	2024.18125215637	377.072326349369	355.703258712373
BNIP3L	12350.3811113323	10552.5998941501	6913.73576865435	310.101582966126	457.259821857199	516.417430056306	982.481194470846	345.286115089918	169.160786598681
HEXB	18930.9807800245	10493.9965760803	7256.63951179444	200.062791816281	313.191774048359	306.82999461066	1189.10142623113	232.671705163901	277.157680876034
NR4A3	851.321071354623	2486.17660816175	4002.88460931976	507.172921761975	109.456113003889	221.468584597958	588.229927174662	316.377424490782	175.098982188847
EMP3	4562.02000561343	26415.6958370066	20600.7230441165	3006.02830220692	3051.7247035764	2203.39155381236	9625.54414757267	2064.32831737202	2126.51709187029
NFKB1	5486.18391687738	3947.42819389316	7364.65348544558	458.358870095133	366.152482699605	380.50700045514	1324.12664493299	576.66164970343	231.491018777459
ATP6AP1	15128.6166067415	6016.23507291209	5628.07780909331	251.388062148029	384.820998906389	248.464134312974	1192.52806110552	153.58435287842	260.284533613255
PYCARD	42897.9324515642	5979.50322776406	10591.245281123	831.618195238253	661.008119881806	616.744651326841	2851.98453578074	363.651001110316	687.965346627112
PLSCR1	26190.2475083901	7235.94282224408	7005.2880613875	466.266378639401	153.474613997736	341.058546441338	1242.9424641474	338.156320387662	415.346414314468
