	Cancer_cells	Stromal_cells	Anti-Inflammatory_macro/mono	Pro-Inflammatory_macro/mono	Other_cells	Bcells	Regulatory_CD4_Tcells	CD4_Tcells	Proliferative_Tcells	NK_cells	CD8_Tcells
GUCY1A3	10.9002409059712	8483.94330968281	151.43361048433	9.60434209593573	22.6859310498148	2.00938519152805	5.27373538587849	0	0.87025795707388	6.15828038054773	1.01654235880399
FAM114A1	6312.52563133871	8640.13859831179	359.060055447673	103.987255536339	79.5437649459552	9.01219641638726	1.82839039039039	5.95432769074708	62.8400246534304	17.0015683233303	15.4514438538206
GPX8	921.364802225829	7793.11249244964	48.3515763796533	0	11.8184260977118	0	5.44304649060826	1.19433492063492	11.0522760548383	57.7242321384675	8.01623510905812
TMEM204	47.1080273489575	7237.25208632045	85.429748263365	32.7728469723221	46.6206631384745	8.78897991594909	23.4185739700803	184.08012602647	78.627060111203	81.3302720387489	52.6592996808401
FAM198B	1608.51721755394	7331.23452176784	1894.27582607965	524.474480046482	85.5298806488454	2.4169357880215	0	1.11471259259259	16.9411695674255	6.96405826201457	0
FGFR1	340.529897570315	8850.00766518173	357.633164080098	107.602757246487	85.5837453224913	6.37961612736754	38.8184853076331	73.2888688559933	153.781573504438	45.5563229580196	23.0329620967397
RAI14	1143.49891775669	7915.51654470391	344.519949374589	35.5906937770023	31.5456520290424	22.5783976050405	1.14661770244821	9.23619005291005	0	0	7.36694227086183
SNAI2	156.164765838561	9226.99030804195	75.920467580825	14.0881594268775	2.3406447099482	0.728106634106634	3.0750202020202	0	0	0	2.10838415159345
PHLDA3	5326.53895167705	7414.27352281175	307.157120651816	46.9249659878547	42.7426591023819	3.69821434544292	106.292312214859	29.2478962934547	228.903237344534	4.78435842902795	79.0572340654576
FKBP9	10759.4028786729	7609.19532026281	547.350973951682	30.9579914697977	46.9749176270978	1.45621326821327	2.81876851851852	90.6900999680096	12.8258450356249	0.471447301860114	4.2049850439139
CYBRD1	837.618193684334	7155.02980301299	1517.34642607289	217.680293897029	76.2501280654973	0.470654564588266	0	17.7516959571293	43.9887905194102	10.0447499627723	2.56076356846288
C10orf10	6992.208804272	13980.0297508712	534.651048142603	62.0979264962668	126.296063547952	34.5076370501307	65.7520955402786	29.7617373698729	128.48171845461	28.1237079288488	26.1003532532466
C1orf54	721.323997793128	12480.0474980833	9867.58157578256	474.775077427761	454.377907927027	3.16484333073594	1.16638697318008	17.1279943926871	94.2395647423328	21.1463758521838	11.7947489360732
VCAN	323.675849370502	34491.1286296466	5582.85171156511	8143.87677127207	320.002355153847	5.53770938215166	8.40004770838998	13.24626002886	22.1477879017621	7.36832845532203	24.2605112202739
