"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"BARX2",186,290,351,0,84,83,392,57,3,112,36,69,45,1,9,39,8,38,0,29,51,26,135
"BASP1",434,266,1493,359,124,206,806,133,59,458,325,188,1333,1316,291,482,332,148,785,471,104,311,806
"BATF",106,72,491,34,71,51,191,93,114,124,202,57,48,204,267,224,145,0,325,57,46,55,371
"BATF2",813,1271,3725,209,472,391,681,119,156,302,426,475,134,464,46,402,185,376,1009,519,344,1337,1155
"BATF3",67,81,226,80,97,68,89,35,19,65,76,64,47,64,34,44,47,52,181,39,56,34,15
"BAX",670,932,3424,681,1166,879,2059,946,1316,937,829,504,670,754,590,749,482,2217,2865,2415,1788,3632,1741
"BAZ1A",3009,4332,6236,1907,2123,2058,6700,2355,3112,1715,2917,1945,2096,3616,2657,2930,2972,1247,5623,3238,9136,4580,3138
"BAZ1B",4982,6239,8226,3293,4346,4704,9301,4516,11278,3878,7342,4479,2499,6339,5843,4394,5740,2225,6853,9525,6547,11772,3113
"BAZ2A",2617,6942,10391,4934,7464,5072,4238,6964,5948,1680,2625,5734,1873,2465,3184,2219,1802,3924,7758,8858,3544,6420,2596
"BAZ2B",4206,7153,3155,3580,5419,4096,14370,5066,12127,3668,5868,4123,3078,3442,5286,4920,5932,1317,4055,7362,2712,4661,1551
"BBC3",249,297,968,415,496,572,753,466,979,315,256,332,241,218,503,395,350,345,398,860,251,622,187
"BBIP1",376,746,732,275,269,393,802,327,1082,425,660,573,434,409,288,379,532,0,707,707,326,781,112
"BBOF1",51,111,201,22,20,84,328,109,97,127,102,87,105,115,85,104,153,40,148,74,423,101,57
"BBOX1",0,0,2,1,0,6,2,0,0,5,1,1,3,2,0,2,6,0,0,0,0,0,0
"BBS1",63,75,79,14,7,61,139,56,80,36,71,98,22,48,38,42,77,0,106,224,22,52,0
"BBS10",253,393,469,385,171,472,725,279,892,355,517,380,402,344,216,390,434,0,959,568,441,852,197
"BBS12",181,279,299,68,1,87,466,102,340,169,296,136,165,133,101,154,204,55,153,112,41,171,64
"BBS2",1202,1656,1081,587,1061,1298,3216,1221,2126,1137,1116,567,298,947,1014,1226,2206,415,1068,2197,610,1364,485
"BBS4",341,652,689,305,457,296,933,298,445,348,307,166,334,307,383,211,421,85,440,783,567,341,207
"BBS5",63,169,112,80,332,328,143,238,200,46,94,140,35,75,61,88,62,228,266,253,52,7,139
"BBS7",680,998,804,330,294,404,1168,231,1067,523,698,431,375,466,390,461,592,156,721,359,684,968,371
"BBS9",339,711,441,760,509,1063,1191,830,1220,431,482,494,257,594,543,625,1087,517,427,414,269,550,52
"BBX",2629,4587,5417,2796,847,2202,5645,2435,4192,2043,4019,2921,2600,2394,1048,2051,2976,490,3611,3110,2979,2731,2177
"BCAM",55,226,1323,452,644,817,265,1482,370,206,133,186,70,189,442,179,255,108,592,1702,159,240,217
"BCAN",31,6,6,1,0,3,53,1,127,20,0,1,20,32,0,38,2,0,0,0,29,0,0
"BCAP29",45,187,51,35,52,102,200,78,215,68,60,119,53,85,60,56,29,0,47,49,115,55,18
"BCAP31",3272,5112,6664,3466,3003,5056,6003,3426,5224,3840,4507,4692,2207,5072,2937,6525,2469,2054,10288,10231,7023,21351,4680
"BCAR1",685,1880,2803,3027,1949,3066,2238,2910,1973,1326,864,1707,1027,866,2001,1254,1298,1915,3069,4261,2191,2558,1196
"BCAR3",523,837,945,346,217,757,1193,592,1369,551,523,390,472,337,490,406,408,349,586,297,1406,939,109
"BCAS1",196,233,1657,101,224,1382,6135,787,506,2138,996,308,765,141,1251,1083,227,0,19,571,8076,6812,645
"BCAS2",841,821,1213,360,303,403,2142,309,1134,691,900,304,710,758,533,743,581,66,893,1068,1444,1878,662
"BCAS3",379,1031,673,1128,589,1549,1439,1116,1049,486,721,717,456,582,541,575,932,455,628,804,321,766,117
"BCAS4",78,121,475,445,8,334,109,143,160,76,503,443,52,150,177,280,257,1,98,98,221,1295,133
"BCAT1",1951,2516,2165,1874,226,400,1378,137,305,726,1076,475,2639,2538,2139,419,1132,193,1758,635,310,415,2003
"BCAT2",604,1011,1403,360,896,522,1018,1407,837,396,465,475,339,588,429,399,376,260,1114,581,1503,1438,519
"BCCIP",1123,1610,2339,378,680,883,2315,458,1877,996,1761,826,883,987,633,921,1033,329,2182,1901,1362,3799,1215
"BCDIN3D",231,264,272,126,239,102,494,175,209,128,192,151,126,257,67,119,191,110,378,181,376,372,208
"BCHE",8,9,89,108,52,31,35,10,4,22,6,0,5,13,41,12,130,0,8,12,1,3,0
"BCKDHA",10,10,6,0,0,8,29,12,13,11,17,9,10,7,23,7,8,0,33,0,0,13,0
"BCKDHB",1000,1958,830,1274,795,1204,2444,1265,2388,975,1540,1303,688,609,677,674,739,249,1533,1156,901,2609,222
"BCKDK",651,1399,1941,552,495,937,836,982,717,390,477,505,513,536,453,540,447,987,1975,1025,702,1455,493
"BCL10",1688,2399,1279,783,1573,1499,4040,1064,2890,1849,2254,1612,2209,1297,1360,2417,848,327,1329,883,1686,2681,564
"BCL11A",763,2339,829,2612,3963,4113,2403,2263,5771,715,1486,2441,358,1378,699,1107,2363,432,1327,1793,778,1314,173
"BCL11B",1324,1981,1351,1055,558,1443,1578,818,1090,843,991,964,303,1133,737,1009,960,360,1126,857,549,1227,474
"BCL2",1102,2081,1302,1122,482,575,2546,913,382,691,988,684,671,1647,483,552,1076,696,656,310,582,457,244
"BCL2A1",333,257,1254,251,35,50,719,36,24,353,376,165,4572,1229,231,281,202,29,519,65,36,186,1383
"BCL2L1",1316,1855,7116,3015,2611,3852,3487,2185,4124,1670,1992,2162,1476,1869,2651,2928,2285,1550,6289,10954,3409,10125,2017
"BCL2L10",9,16,14,51,46,19,60,5,16,3,11,9,4,40,34,30,11,1,40,29,43,78,0
"BCL2L11",829,2273,2995,710,1010,1252,1510,947,1161,864,1332,1559,950,810,1183,893,1265,284,1687,1296,751,1530,441
"BCL2L12",342,538,1089,210,353,457,559,501,389,298,285,403,266,303,170,245,146,278,888,654,679,1307,290
"BCL2L13",1510,2480,2249,826,915,1479,4119,1185,2010,1610,2231,1689,1128,1690,1596,1134,1438,323,1898,1751,2015,3973,693
"BCL2L14",1021,1825,940,232,366,543,1982,712,1125,525,749,452,498,460,573,857,931,378,1134,688,1178,1340,737
"BCL2L15",1470,2363,1245,120,1333,1102,6603,726,1634,1895,1087,583,980,604,2262,1450,668,125,702,1334,3002,6416,810
"BCL2L2",860,1640,2090,939,842,1058,2092,1218,1061,689,747,623,849,718,792,692,1221,279,2205,1442,1967,1999,826
"BCL2L2-PABPN1",16,32,34,0,0,0,17,10,37,22,7,10,9,10,9,16,21,0,65,15,24,0,0
"BCL3",391,1651,2400,1113,577,947,716,1201,291,410,254,851,570,426,230,612,180,777,2669,1835,1869,2182,555
"BCL6",341,667,3763,555,472,359,665,608,181,320,356,327,2088,821,414,372,537,636,1871,508,329,442,964
"BCL6B",111,179,544,357,131,211,285,119,73,284,223,177,232,320,198,163,391,87,920,144,87,153,136
"BCL7A",362,649,756,343,673,409,562,771,670,133,594,557,231,362,214,286,286,92,893,551,270,515,317
"BCL7B",461,735,1657,454,641,807,1349,991,1537,731,945,731,486,735,872,707,772,191,1515,1793,768,2512,611
"BCL7C",719,556,948,456,255,660,2165,621,1516,1059,1042,354,492,953,717,868,1191,65,1221,1070,651,795,549
"BCL9",403,1078,1152,861,1964,618,764,1125,918,350,578,1156,317,373,330,295,391,50,1359,1628,698,1321,243
"BCL9L",695,2712,4405,2175,1642,2266,958,1534,568,475,399,1273,567,607,995,428,640,2231,2804,1673,619,2353,581
"BCLAF1",6824,10461,9110,4006,5326,6605,17126,4288,12674,5966,11694,7146,6402,6916,5799,7188,8364,1270,9506,8320,4432,10663,2298
"BCLAF3",524,1069,1042,1005,937,1073,2429,712,1938,583,944,780,457,972,1163,1102,1135,292,1191,1106,947,1798,203
"BCO1",80,76,76,1,96,31,373,23,55,72,123,96,5,41,49,99,75,30,28,190,133,272,325
"BCO2",35,88,46,29,107,63,121,45,178,31,75,94,26,47,67,40,101,23,100,150,56,59,30
"BCOR",1073,2542,4597,1715,2805,2251,2187,2980,2254,755,1514,1607,1106,996,1284,1129,1373,734,2491,2459,1876,2936,560
"BCORL1",177,691,941,861,693,781,349,1086,351,137,206,602,99,222,338,210,183,481,843,470,87,1087,114
"BCR",1563,3424,3964,1283,2585,2408,3997,3182,2539,1734,2233,2655,1775,1619,2642,1224,1010,1111,2304,1777,1226,4357,1091
"BCS1L",621,1110,1161,315,1026,1078,1262,680,916,512,778,611,310,581,577,487,472,1958,2140,1386,1002,2350,314
"BDH1",504,425,819,308,745,709,1031,688,1287,521,453,437,345,447,292,356,294,471,579,1503,708,237,351
"BDH2",207,225,509,264,218,204,1271,293,629,464,534,272,220,252,340,321,874,256,311,493,469,272,48
"BDKRB1",17,29,46,3,0,35,50,14,4,32,12,13,17,16,43,38,15,54,70,9,22,102,75
"BDKRB2",315,680,508,434,300,480,1450,459,123,628,481,363,467,491,873,491,411,105,1242,230,414,1088,218
"BDNF",19,41,35,58,51,23,155,91,19,65,72,37,15,45,37,80,47,0,95,13,23,40,21
"BDP1",1643,2245,2099,699,1226,1253,4347,1026,3189,927,2373,1257,1881,1875,2017,1600,1975,600,1800,1656,700,2127,591
"BEAN1",7,14,128,8,8,10,6,56,22,13,1,0,8,6,46,7,0,0,0,8,0,0,0
"BECN1",1944,3013,3585,1959,1863,2625,5801,2093,4684,2419,3493,2251,1502,2134,2112,2102,2249,553,5307,4723,2819,8017,1373
"BECN2",0,0,12,0,0,0,0,9,0,1,0,1,0,0,0,0,0,0,12,0,0,0,0
"BEGAIN",26,54,117,49,6,43,53,56,7,13,15,17,16,8,8,8,36,104,0,24,15,6,2
"BEND2",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,67,16,0,0,0,0
"BEND3",601,1294,728,482,1346,710,1250,913,1008,308,498,682,481,549,181,326,344,266,1086,547,388,699,182
"BEND4",15,39,125,0,1,17,50,17,2,12,77,114,11,39,2,27,67,0,26,39,0,9,0
"BEND5",3,5,26,8,0,20,43,66,5,19,11,11,13,17,7,11,41,1,0,19,11,0,0
"BEND6",11,24,33,127,24,19,75,16,4,34,44,12,35,54,63,7,86,0,50,72,23,48,16
"BEND7",339,831,819,970,416,787,1411,912,2552,671,1089,1061,150,475,173,636,1023,61,1137,1675,1119,1789,159
"BEST1",1622,117,271,218,103,204,2499,56,946,989,105,128,2177,3322,181,1133,136,251,819,397,166,1264,514
"BEST2",24,58,213,0,0,11,503,202,3,113,21,17,145,2,0,51,5,0,1,2,1508,0,2
"BEST3",16,14,1,0,0,10,14,16,7,3,5,10,0,1,0,6,1,0,0,0,0,0,0
"BEST4",11,12,237,1,0,22,38,6,12,13,16,17,22,9,23,6,19,0,12,2,81,46,0
"BET1",590,957,860,457,408,643,2122,401,1656,760,1180,603,473,644,509,687,894,35,1130,1028,1497,2086,497
"BET1L",864,2177,2532,1351,1202,1751,1852,2021,2576,778,798,1198,858,826,579,599,653,63,2948,2342,3206,4793,762
"BEX1",0,0,7,0,0,5,3,2,0,1,3,0,1,6,6,1,21,0,0,0,0,0,0
"BEX2",46,26,41,21,1,5,128,43,119,65,37,12,178,19,0,53,25,0,402,447,210,6,0
"BEX3",753,375,438,149,79,100,710,338,234,478,259,66,1001,422,248,234,494,170,1414,644,2950,144,926
"BEX4",97,123,570,239,77,70,397,99,80,277,218,68,102,214,200,95,267,0,341,773,751,128,70
"BEX5",2,2,15,0,0,5,31,4,17,9,5,0,2,29,1,45,10,0,138,23,56,18,46
"BFAR",893,1497,1272,608,396,786,1572,763,1430,727,864,678,608,567,455,800,677,378,1400,1244,1446,1786,499
"BFSP1",103,60,29,33,96,43,167,75,145,28,130,100,70,41,83,112,25,1,94,126,90,170,82
"BFSP2",3,1,4,0,0,0,23,2,0,2,6,0,0,10,0,4,5,22,13,0,0,0,0
"BGLAP",1,1,4,0,77,4,3,12,5,2,1,8,1,1,4,2,0,0,0,3,14,0,0
"BGN",1688,5306,10131,6442,930,2391,1151,2068,286,554,485,1238,1178,1989,2109,341,1806,1509,9026,6220,2462,1385,7807
"BHLHA15",69,87,61,0,0,60,152,26,14,30,40,43,28,62,6,34,49,30,62,12,69,94,3
"BHLHA9",14,9,0,0,0,0,10,0,38,2,2,0,1,0,0,4,15,0,0,0,18,0,0
"BHLHB9",2,2,4,6,0,14,17,14,11,4,6,0,2,12,0,5,7,0,0,0,0,0,0
"BHLHE22",34,13,81,103,27,70,136,41,14,113,43,29,25,170,28,35,106,0,129,136,76,35,4
"BHLHE23",1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BHLHE40",3676,7548,9971,8905,3191,3478,4144,3726,2032,1453,3707,4567,3997,3282,6480,5554,2039,1689,8234,5859,6408,8856,2056
"BHLHE41",288,787,912,584,122,515,714,580,721,195,210,266,232,260,474,175,485,257,299,1291,1095,395,497
"BHMG1",4,0,2,0,0,0,0,0,0,0,1,9,0,0,0,1,0,0,56,0,27,0,0
"BHMT",0,0,7,0,1,0,4,14,7,20,1,0,10,0,0,3,7,0,15,62,21,0,0
"BHMT2",17,15,203,36,24,67,38,21,12,45,40,35,6,28,39,42,170,80,163,33,29,28,0
"BICC1",705,1173,883,1628,195,477,1250,297,299,820,876,516,636,1398,755,605,1654,611,1452,693,248,262,285
"BICD1",504,1740,960,737,597,427,1004,278,937,296,415,588,294,490,597,410,913,618,937,578,227,493,368
"BICD2",1213,1747,2739,1339,1087,1191,2180,1484,2314,1111,2070,1542,1117,1325,1631,861,1559,1097,1880,1345,793,1889,384
"BICDL1",466,785,1058,416,456,533,915,463,741,258,478,501,139,192,210,470,261,609,954,356,486,880,272
"BICDL2",733,1346,2073,1615,1986,2704,2003,2617,2408,912,895,1359,311,360,1959,1088,687,1807,1913,6056,1003,3533,490
"BICRA",99,621,808,511,560,676,209,1064,280,88,81,352,91,138,347,86,143,779,897,742,391,502,142
"BICRAL",677,2000,1672,1127,1328,2221,1781,2771,2446,706,1339,1740,513,944,838,888,1191,215,1643,1758,1038,1141,130
"BID",890,793,1318,263,678,583,2376,614,1059,1470,2064,997,1109,1282,1048,667,656,114,1377,534,699,3647,968
"BIK",479,467,138,117,303,101,974,200,151,199,328,189,477,556,90,218,74,150,115,92,342,591,285
"BIN1",933,1489,2551,1842,2934,2611,2213,577,2388,1270,1612,1888,219,998,1133,921,931,1589,2525,3525,863,3972,715
"BIN2",239,319,1790,88,80,309,732,211,100,340,566,348,271,552,278,223,491,667,659,363,338,700,401
"BIN3",676,1180,1369,329,547,818,1694,1500,1373,606,443,432,520,807,1043,659,488,293,762,1359,1136,1252,631
"BIRC2",2094,3324,3451,2044,1503,1917,6570,1067,2781,2570,3785,2210,2599,2201,1758,2035,2849,592,2828,3009,2335,3955,796
"BIRC3",3426,4744,8800,2961,1013,2048,5740,434,672,2564,4381,1875,4415,5629,903,2802,3710,1665,3859,1271,1502,5168,4540
"BIRC5",2195,1582,1753,303,1345,829,2570,731,2049,1229,1683,905,1539,1845,703,987,729,106,1688,1244,1477,4655,769
"BIRC6",12880,26948,9297,13540,18392,17310,19545,13040,34188,13832,22381,16367,8102,12256,14482,13881,17383,4150,7549,7937,4586,12481,1134
"BIRC7",22,13,22,25,150,2,8,3,17,8,20,7,1,5,39,12,29,0,0,42,0,4,78
"BIRC8",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"BIVM",439,841,711,652,806,1048,977,429,2852,590,830,504,285,510,648,658,953,77,1557,2267,765,1547,411
"BIVM-ERCC5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLCAP",1380,2959,2370,3378,3202,4211,3706,3864,4272,1671,2414,3268,875,1553,2890,2306,2636,1080,3853,8816,8354,10557,864
"BLID",3,10,0,1,0,0,3,1,0,3,1,0,4,8,4,6,10,0,0,4,0,0,0
"BLK",23,27,457,17,0,37,21,61,1,15,42,43,6,87,6,49,67,29,50,0,0,26,0
"BLM",938,1549,1405,281,574,578,1800,328,1392,819,973,577,939,842,919,328,554,597,845,893,822,1610,225
"BLMH",792,1374,1815,878,831,862,776,800,1153,690,962,783,317,1023,386,526,960,273,1845,2055,630,2296,595
"BLNK",599,1359,934,192,242,426,1635,295,974,394,699,551,182,628,139,399,309,255,378,299,733,461,593
"BLOC1S1",77,122,73,48,117,105,232,100,152,113,235,70,73,57,79,112,211,0,69,28,33,39,77
"BLOC1S2",463,618,1204,169,318,335,1507,213,746,534,780,291,461,737,433,489,796,45,621,647,637,882,681
"BLOC1S3",194,420,556,386,291,372,398,482,353,210,116,258,147,267,105,165,130,284,502,459,396,1188,123
"BLOC1S4",317,323,491,123,322,245,708,189,644,404,312,179,355,391,170,299,349,58,481,458,425,578,114
"BLOC1S5",417,542,476,501,604,595,999,372,940,362,665,433,308,458,290,400,507,28,897,618,431,775,272
"BLOC1S5-TXNDC5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BLOC1S6",1689,2603,3009,1357,1675,1408,4201,715,3782,1902,2126,1318,2617,2220,1672,1262,2017,240,3180,3078,2647,2270,810
"BLVRA",517,528,1598,199,41,150,316,113,101,154,318,172,212,316,130,284,335,170,304,275,190,176,597
"BLVRB",904,833,1195,300,472,363,2178,618,935,686,552,384,940,583,710,598,473,125,586,537,748,1685,1160
"BLZF1",841,1390,1057,580,988,763,2693,608,1522,676,1441,600,986,889,1619,944,1379,242,997,1103,1408,1375,527
"BMF",412,698,1370,1216,645,745,1307,346,637,473,519,511,264,527,1084,315,561,372,733,3483,328,1131,159
"BMI1",545,844,1512,586,783,834,2317,557,1997,792,837,610,748,761,478,757,991,51,1913,1946,1661,1596,813
"BMP1",810,1827,2857,2021,1052,1858,1391,1571,836,794,679,886,898,1451,1282,598,740,2936,3201,2079,564,1795,824
"BMP10",0,2,0,0,0,0,8,0,0,2,2,0,0,5,0,1,0,24,0,0,0,0,0
"BMP15",1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"BMP2",417,721,537,205,227,964,1310,564,106,548,345,248,499,179,566,432,165,323,1149,431,554,726,296
"BMP2K",2620,4880,3192,2692,2544,2033,6675,2227,5903,2435,3942,2573,3054,3325,3417,2424,4057,665,2315,2205,2552,3084,654
"BMP3",136,193,491,74,0,17,23,12,5,36,15,13,10,17,38,11,430,1,0,72,24,3,1
"BMP4",383,667,2098,706,2329,928,1781,2212,1068,685,363,396,764,342,1852,1072,533,362,821,3030,6534,1240,685
"BMP5",1,0,202,0,0,254,1366,98,779,362,188,155,1,13,4,148,51,0,109,615,236,112,3
"BMP6",85,44,164,60,0,99,497,160,58,127,152,121,137,204,15,199,150,401,199,26,158,18,0
"BMP7",98,182,1045,129,1071,3352,413,1240,854,380,2006,1605,2,21,176,1365,407,14,296,1457,2538,2437,33
"BMP8A",667,1124,909,1472,225,749,424,257,717,194,340,396,395,631,491,300,673,135,1457,581,244,243,120
"BMP8B",567,917,714,339,180,318,477,334,386,183,212,343,337,258,330,268,279,35,344,361,361,1114,39
"BMPER",7,11,62,61,0,2,67,42,24,91,18,0,94,43,11,110,70,57,55,47,17,0,25
"BMPR1A",1503,2637,2347,1225,1696,1082,4030,1355,4249,2011,2423,1757,1380,2117,968,1506,2404,110,1902,2707,997,2610,393
"BMPR1B",50,59,59,56,10,52,54,329,14,31,9,19,370,25,56,32,100,27,38,60,791,0,0
"BMPR2",2592,6905,5562,6355,4488,5719,7226,4393,8960,3634,4105,4668,2207,3743,3215,3021,4527,653,4201,6472,2354,5593,956
"BMS1",2757,3113,4083,1333,1189,1496,4657,1560,4750,1529,2976,1507,1755,2163,2402,2187,2166,824,3864,3421,3006,4110,1782
"BMT2",286,404,708,346,450,407,1056,417,1047,372,681,398,470,466,518,434,675,85,716,809,405,752,187
"BMX",1,7,47,0,22,16,330,128,27,37,28,6,23,105,38,29,51,20,18,22,20,41,0
"BNC1",0,3,17,0,0,0,5,2,0,0,1,0,1,4,0,2,9,0,0,0,0,0,0
"BNC2",387,956,755,1213,199,486,1076,363,62,562,410,394,286,952,673,297,1738,647,588,475,172,98,89
"BNIP1",181,247,392,44,169,77,476,154,307,198,289,181,171,152,123,151,191,181,271,198,174,511,461
"BNIP2",2344,4072,4101,1930,1339,1845,4667,1246,5024,2425,3023,1762,2065,2669,2823,1534,2839,511,3148,3991,2479,2275,1060
"BNIP3",1024,1144,446,175,188,331,588,387,1289,216,104,48,1996,311,191,535,808,33,604,351,164,120,304
"BNIP3L",2514,4032,3335,1324,896,1156,4995,1645,1689,1176,1602,773,4087,1812,2814,1562,1826,280,2120,2722,2599,2027,2304
"BNIPL",21,42,21,26,0,41,181,38,76,31,4,23,18,19,15,15,29,21,88,85,50,101,14
"BOC",100,247,1292,519,157,424,328,529,101,213,233,250,110,286,254,169,1240,340,353,442,156,72,111
"BOD1",1097,1091,1349,594,893,908,2556,710,2017,927,1454,697,847,1272,1015,1006,1517,306,1505,1539,1083,2229,572
"BOD1L1",3146,4518,6465,1899,1312,2112,7490,2382,6412,2543,5058,2760,3403,3704,4490,2672,4580,2184,6540,10698,6320,7319,2247
"BOD1L2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOK",560,963,807,770,170,838,999,544,184,354,663,770,204,416,367,390,329,111,212,288,149,1125,394
"BOLA1",378,103,203,90,37,146,512,123,289,315,220,104,172,321,270,185,226,65,127,230,205,172,246
"BOLA2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BOLA2-SMG1P6",16,38,17,0,0,38,27,45,50,6,9,29,9,10,0,36,11,0,0,19,0,9,0
"BOLA2B",0,0,0,0,0,12,0,0,0,0,0,5,0,0,0,0,0,0,1,0,0,31,0
"BOLA3",476,448,405,83,280,172,747,115,269,420,409,146,293,410,118,266,180,0,610,178,364,1044,389
"BOLL",1,0,0,0,0,0,3,0,6,6,0,0,0,0,0,3,0,0,0,0,0,0,28
"BOP1",1148,1975,1924,1096,2439,2059,1481,1582,1646,780,2301,2485,622,1585,653,1073,655,2133,2796,2178,1965,6847,1441
"BORA",765,1219,884,280,661,855,1840,307,2991,646,1464,753,729,394,1239,545,1105,63,823,1304,1153,2569,319
"BORCS5",507,1158,573,676,565,808,991,719,1281,363,716,1146,272,375,480,554,523,515,543,418,240,632,66
"BORCS6",221,270,525,131,177,86,474,223,347,188,184,112,185,165,131,173,425,162,252,329,239,372,190
"BORCS7",545,519,498,148,280,291,843,145,896,469,434,217,282,322,173,474,350,0,944,1003,326,814,421
"BORCS7-ASMT",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BORCS8",86,279,329,225,249,321,235,373,174,97,122,319,88,133,120,96,104,104,422,468,167,305,21
"BORCS8-MEF2B",1,10,3,0,0,3,2,8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BPGM",301,398,700,333,91,265,624,150,395,343,425,174,356,404,277,225,374,79,505,579,308,586,234
"BPHL",517,794,585,514,585,681,1060,937,675,363,649,446,207,517,763,423,612,33,1051,985,1199,960,216
"BPI",1,4,2,0,1,1,8,5,16,8,5,0,2,13,4,8,7,0,0,11,0,9,0
"BPIFA1",1,0,0,1,1,0,1,0,1,0,2,14,0,0,0,2,0,0,0,0,0,0,0
"BPIFA2",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BPIFA3",1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BPIFB1",1,0,1,0,0,1,0,0,2,0,0,43,1,0,0,4,0,0,0,0,6,0,28
"BPIFB2",1,0,0,1,1,0,2,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BPIFB3",2,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BPIFB4",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BPIFB6",2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BPIFC",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"BPNT1",1121,1366,1495,323,2381,1079,4279,841,1851,1166,1192,643,989,855,1467,1072,1089,107,1182,2117,2337,2636,1003
"BPTF",3974,7805,5715,4227,3730,5043,8295,5747,9928,3115,5271,5077,3591,4228,5023,3239,5607,2991,9057,7586,3261,6593,1081
"BPY2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BPY2B",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BPY2C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"BRAF",1415,3161,2095,2306,2002,3460,5083,2703,6626,2115,3862,3451,1703,2522,2918,2322,2525,644,1932,2549,1076,2849,359
"BRAP",820,1338,1348,877,659,817,2344,939,1787,717,1409,984,765,890,837,888,1045,526,1268,1300,1379,1604,773
"BRAT1",947,1797,2230,1550,2876,2401,2024,2470,3150,1220,1258,1503,610,1097,1337,1243,1806,2058,2556,4194,1243,3590,650
"BRCA1",2284,3707,3057,604,1346,1969,3848,1299,3462,1876,2656,1835,1334,2007,1670,987,1744,513,2545,1613,716,4008,417
"BRCA2",2356,4294,1657,999,1991,3102,5067,1286,12285,2845,5896,3650,2615,1972,4744,1927,4162,450,2558,1007,998,3411,302
"BRCC3",1170,1737,1346,786,714,1012,2367,764,2459,1113,1397,929,666,1980,900,1692,1004,304,3168,1856,1500,4892,476
"BRD1",1101,2565,2556,1461,2038,2441,2315,2157,1657,1130,1541,1822,951,1029,1717,913,1163,1975,2110,1528,765,2899,371
"BRD2",612,365,1903,1431,1779,2124,2239,1809,1773,1189,1193,1398,883,916,1585,693,993,823,2572,1913,2233,1233,487
"BRD3",601,1677,2323,1779,1232,1964,1420,2109,1858,791,912,1722,580,565,1038,723,1158,904,3111,2957,2000,1339,562
"BRD3OS",189,355,552,320,153,289,474,415,695,243,293,234,173,246,178,155,205,84,353,787,289,215,213
"BRD4",1311,4628,4592,3183,2228,3412,1935,3987,3268,873,976,2629,1005,1422,1330,1008,1000,2620,5342,4037,1998,4394,1658
"BRD7",2070,2379,3872,909,1003,1838,4644,1672,3929,2041,4176,1981,1922,2308,2423,2576,3117,397,3754,3285,3458,4997,1411
"BRD8",1249,2064,3423,836,1131,1383,3451,1510,2890,1248,1954,1629,984,1150,1855,1195,1468,890,3253,4001,1058,3108,768
"BRD9",1294,2711,3087,1459,1804,2520,2352,2401,2181,820,1231,1611,1077,980,2597,861,1019,3079,2191,2719,2116,2178,678
"BRDT",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,15,6,0
"BRF1",780,1509,1636,1142,964,1256,1668,2091,752,519,457,695,527,811,946,708,921,1327,1192,846,1462,1073,342
"BRF2",307,395,372,225,316,283,796,486,518,339,507,331,306,441,306,321,231,111,423,876,943,465,430
"BRI3",1121,1804,1930,1716,1471,1469,2787,1494,4089,1588,1783,2247,1156,1575,1868,1165,1176,340,1187,3010,897,2913,1581
"BRI3BP",5030,6828,3390,1264,5670,2982,7013,1883,5278,3205,3589,2707,3848,3883,1826,2278,1458,203,5468,2725,4443,7839,2268
"BRICD5",107,162,207,38,81,98,164,146,179,84,52,53,38,62,84,89,96,258,240,180,302,72,52
