"","NIC12nova","NIC12","NIC13","NIC15","NIC16","NIC17","NIC18","NIC19","NIC20","NIC21","NIC22nova","NIC22","NIC23","NIC24","NIC25","NIC27","NIC29","NIC3","NIC4","NIC5","NIC6","NIC7","S52"
"TRIM35",665,1142,1161,469,739,822,1582,808,1260,682,599,491,567,931,676,668,552,370,421,1164,874,1021,202
"TRIM36",589,1124,560,63,185,266,1280,87,241,463,769,563,211,108,229,456,324,67,308,76,207,1217,1
"TRIM37",1445,2176,1532,955,791,1364,2572,646,1461,1148,1902,1062,941,1208,820,772,1380,331,1477,803,509,2457,324
"TRIM38",1528,3503,3941,1402,1636,1453,4162,1829,2726,1310,1903,1577,1376,1518,1531,1096,1539,1091,1925,2622,1372,1437,956
"TRIM39",0,0,4,0,0,0,3,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"TRIM39-RPP21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM4",1207,1889,1405,1114,1223,1607,2674,1426,3239,1120,1310,1063,695,1276,1247,1276,1719,398,2298,3365,952,3397,511
"TRIM40",13,25,42,0,0,13,7,3,3,106,5,20,45,5,0,11,2,0,0,11,0,49,56
"TRIM41",1120,1654,2242,473,973,893,1955,750,1101,738,785,841,676,732,673,651,485,1691,2400,2274,684,1300,467
"TRIM42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM43",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM43B",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM44",2645,5567,5244,3966,2545,3890,6428,3207,13077,2695,4844,4306,2181,2396,2719,2703,3627,815,8931,6622,4240,11385,1047
"TRIM45",146,267,147,27,11,70,394,163,97,58,65,96,59,44,52,44,67,27,116,149,82,50,15
"TRIM46",32,87,169,90,34,40,18,33,6,17,4,13,21,33,13,6,21,137,105,77,30,21,30
"TRIM47",627,1030,1885,847,589,782,682,538,637,521,360,387,716,618,345,444,488,465,1137,764,569,993,499
"TRIM48",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TRIM49",0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,17,0,1
"TRIM49B",2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0
"TRIM49C",0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,15
"TRIM49D1",0,0,0,0,19,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
"TRIM49D2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM5",866,991,1105,522,574,548,1263,399,1168,518,811,462,418,493,359,415,528,181,804,517,570,932,162
"TRIM50",0,1,9,0,0,8,11,4,3,0,0,0,2,9,0,0,11,0,26,0,0,0,0
"TRIM51",0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM51GP",1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM52",478,977,1227,558,358,704,1417,446,1408,537,796,808,383,587,666,554,817,870,1494,1801,612,1604,76
"TRIM54",83,40,0,9,18,50,189,6,29,3,21,3,19,14,91,1,14,0,44,7,18,126,0
"TRIM55",2,1,2,0,0,5,21,0,0,1,7,0,0,3,0,5,5,0,0,0,0,5,0
"TRIM56",2762,4035,8708,2617,3614,3839,4569,3826,7428,2677,3028,3446,1186,3205,2820,2666,2936,1774,7431,11576,4872,12257,3013
"TRIM58",1,2,94,0,0,69,8,82,53,13,9,9,3,121,8,12,11,0,0,0,137,0,0
"TRIM59",915,1220,706,221,271,348,788,134,592,429,452,370,630,528,318,243,347,0,637,401,650,686,314
"TRIM6",24,38,89,10,0,3,61,5,32,33,22,16,24,26,18,10,29,0,106,152,29,54,28
"TRIM6-TRIM34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM60",0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM61",17,34,43,15,0,21,46,5,7,14,21,20,33,34,16,4,36,0,98,0,0,32,20
"TRIM62",74,258,474,131,133,210,196,437,151,73,107,246,85,69,76,63,141,156,407,215,194,456,27
"TRIM63",1,6,1,0,0,0,10,2,0,3,2,0,3,2,0,4,7,0,0,9,0,0,0
"TRIM64",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM64B",0,0,6,0,0,0,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM64C",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"TRIM65",1466,1970,1422,686,758,928,1587,905,1183,820,741,800,460,1120,625,572,845,345,1940,1621,918,2092,443
"TRIM66",1169,4153,1766,999,708,2303,1312,1592,1906,358,785,1709,249,1025,531,455,839,1131,1473,1612,430,1512,179
"TRIM67",3,1,5,0,1,0,4,4,5,3,0,0,1,2,4,3,3,0,0,0,0,0,22
"TRIM68",357,455,662,266,477,444,1073,494,1461,391,510,395,249,274,302,328,439,187,823,610,424,1358,138
"TRIM69",186,270,591,47,43,79,225,32,74,131,62,108,296,192,33,77,25,154,202,98,89,191,56
"TRIM7",721,1033,1169,0,22,169,217,216,17,107,19,15,500,50,249,36,18,60,25,0,480,1,247
"TRIM71",0,1,2,20,0,4,5,0,1,4,52,59,6,6,0,19,1,35,394,0,0,14,0
"TRIM72",621,652,446,0,17,0,1012,63,4,7,2,0,420,7,0,2,0,2,1442,1,413,10,168
"TRIM73",6,4,16,14,8,1,24,33,28,4,10,19,1,8,8,6,6,0,19,16,0,66,18
"TRIM74",10,20,32,0,0,7,33,18,48,1,3,1,5,14,4,14,2,0,82,33,0,11,0
"TRIM75P",3,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIM77",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
"TRIM8",982,2202,3074,1760,2001,1742,2540,2181,2049,948,786,1354,1354,1120,1170,833,1213,873,2215,2489,1319,1535,851
"TRIM9",11,18,109,20,39,36,67,53,19,13,18,12,17,29,23,26,56,62,20,41,0,18,0
"TRIML1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"TRIML2",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,24,3,0
