"","values","samples","models","cols"
"287",0.255657144772704,"NIC22nova","MuSiC_wGrouping","uncorrected_woProl_gd"
"288",0.25279936719744,"NIC22","MuSiC_wGrouping","uncorrected_woProl_gd"
"289",0.156188047095143,"NIC23","MuSiC_wGrouping","uncorrected_woProl_gd"
"290",0.138346112320569,"NIC24","MuSiC_wGrouping","uncorrected_woProl_gd"
"291",0.147415165977299,"NIC25","MuSiC_wGrouping","uncorrected_woProl_gd"
"292",0.104572841093634,"NIC27","MuSiC_wGrouping","uncorrected_woProl_gd"
"293",0.17211178345423,"NIC29","MuSiC_wGrouping","uncorrected_woProl_gd"
"294",0.178051039904554,"NIC3","MuSiC_wGrouping","uncorrected_woProl_gd"
"295",0.205577154155403,"NIC4","MuSiC_wGrouping","uncorrected_woProl_gd"
"296",0.259488714258829,"NIC5","MuSiC_wGrouping","uncorrected_woProl_gd"
"297",0.192861358625132,"NIC6","MuSiC_wGrouping","uncorrected_woProl_gd"
"298",0.188469043503318,"NIC7","MuSiC_wGrouping","uncorrected_woProl_gd"
"299",0.21856474275488,"S52","MuSiC_wGrouping","uncorrected_woProl_gd"
"300",0.208703488629217,"NIC12nova","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"301",0.208615679270818,"NIC12","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"302",0.207745621884103,"NIC13","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"303",0.139461890409016,"NIC15","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"304",0.282160382659025,"NIC16","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"305",0.211374868859118,"NIC17","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"306",0.171583493618903,"NIC18","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"307",0.255035878059341,"NIC19","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"308",0.2453237861661,"NIC20","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"309",0.118885308885953,"NIC21","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"310",0.270676697523449,"NIC22nova","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"311",0.267706867627459,"NIC22","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"312",0.162613287139186,"NIC23","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"313",0.159099434731854,"NIC24","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
"314",0.152012239688265,"NIC25","MuSiC_wGrouping","uncorrected_woProl_gdwoOthers"
