"","values","cell_types","models","cols"
"170",0.383493486605698,"Proliferative Tcells","BSeqSC","uncorrected_gd"
"171",0.00896459235037251,"NK cells","BSeqSC","uncorrected_gd"
"172",0.605971782597637,"Cancer cells","BSeqSC","uncorrected_gdwoOthers"
"173",0.138711896155365,"Stromal cells","BSeqSC","uncorrected_gdwoOthers"
"174",0.0696091929851417,"Macro/mono Lineage","BSeqSC","uncorrected_gdwoOthers"
"175",0.155986273821335,"Bcells","BSeqSC","uncorrected_gdwoOthers"
"176",0.161524316007885,"CD4 Tcells","BSeqSC","uncorrected_gdwoOthers"
"177",0.122407122268263,"Regulatory CD4 Tcells","BSeqSC","uncorrected_gdwoOthers"
"178",0.0342093860159129,"CD8 Tcells","BSeqSC","uncorrected_gdwoOthers"
"179",0.383391938158921,"Proliferative Tcells","BSeqSC","uncorrected_gdwoOthers"
"180",0.00902940579328286,"NK cells","BSeqSC","uncorrected_gdwoOthers"
"181",0.204043958802842,"Cancer cells","CIBERSORTx","uncorrected_gd"
"182",0.218498164986185,"Stromal cells","CIBERSORTx","uncorrected_gd"
"183",0.0793303026734141,"Macro/mono Lineage","CIBERSORTx","uncorrected_gd"
"184",0.0582071575982503,"Bcells","CIBERSORTx","uncorrected_gd"
"185",0.0337807694198181,"CD4 Tcells","CIBERSORTx","uncorrected_gd"
"186",0.00978825196544154,"Regulatory CD4 Tcells","CIBERSORTx","uncorrected_gd"
"187",0.0223889277091139,"CD8 Tcells","CIBERSORTx","uncorrected_gd"
"188",0.0928940873556443,"Proliferative Tcells","CIBERSORTx","uncorrected_gd"
"189",0.00462077936726697,"NK cells","CIBERSORTx","uncorrected_gd"
"190",0.225311584822395,"Cancer cells","CIBERSORTx","uncorrected_gdwoOthers"
"191",0.214067357031711,"Stromal cells","CIBERSORTx","uncorrected_gdwoOthers"
"192",0.0849056286858093,"Macro/mono Lineage","CIBERSORTx","uncorrected_gdwoOthers"
"193",0.0579547667257575,"Bcells","CIBERSORTx","uncorrected_gdwoOthers"
"194",0.0371004644870137,"CD4 Tcells","CIBERSORTx","uncorrected_gdwoOthers"
"195",0.0103475010303267,"Regulatory CD4 Tcells","CIBERSORTx","uncorrected_gdwoOthers"
"196",0.0243284014647083,"CD8 Tcells","CIBERSORTx","uncorrected_gdwoOthers"
"197",0.0927905541987342,"Proliferative Tcells","CIBERSORTx","uncorrected_gdwoOthers"
"198",0.00483156333410929,"NK cells","CIBERSORTx","uncorrected_gdwoOthers"
"199",0.281877506281883,"Cancer cells","DigitalDLSorter","uncorrected_gd"
"200",0.246497807324546,"Stromal cells","DigitalDLSorter","uncorrected_gd"
"201",0.0708385256796825,"Macro/mono Lineage","DigitalDLSorter","uncorrected_gd"
"202",0.0168189964659662,"Bcells","DigitalDLSorter","uncorrected_gd"
"203",0.0336100314814736,"CD4 Tcells","DigitalDLSorter","uncorrected_gd"
"204",0.00841946094944769,"Regulatory CD4 Tcells","DigitalDLSorter","uncorrected_gd"
"205",0.0151980697313264,"CD8 Tcells","DigitalDLSorter","uncorrected_gd"
"206",0.0612130502395576,"Proliferative Tcells","DigitalDLSorter","uncorrected_gd"
"207",0.0114280383074745,"NK cells","DigitalDLSorter","uncorrected_gd"
"208",0.284348705979695,"Cancer cells","DigitalDLSorter","uncorrected_gdwoOthers"
"209",0.245401638241611,"Stromal cells","DigitalDLSorter","uncorrected_gdwoOthers"
"210",0.0753234688868209,"Macro/mono Lineage","DigitalDLSorter","uncorrected_gdwoOthers"
"211",0.016711336128397,"Bcells","DigitalDLSorter","uncorrected_gdwoOthers"
"212",0.036806155511645,"CD4 Tcells","DigitalDLSorter","uncorrected_gdwoOthers"
"213",0.00832024282534597,"Regulatory CD4 Tcells","DigitalDLSorter","uncorrected_gdwoOthers"
"214",0.0160510230902184,"CD8 Tcells","DigitalDLSorter","uncorrected_gdwoOthers"
"215",0.0610240473696888,"Proliferative Tcells","DigitalDLSorter","uncorrected_gdwoOthers"
"216",0.0113246415907266,"NK cells","DigitalDLSorter","uncorrected_gdwoOthers"
"217",0.339657466552427,"Cancer cells","DWLS","uncorrected_gd"
"218",0.174950010750353,"Stromal cells","DWLS","uncorrected_gd"
"219",0.0788049825648498,"Macro/mono Lineage","DWLS","uncorrected_gd"
"220",0.275777352815167,"Bcells","DWLS","uncorrected_gd"
"221",0.0365799505053115,"CD4 Tcells","DWLS","uncorrected_gd"
"222",0.0152612651085008,"Regulatory CD4 Tcells","DWLS","uncorrected_gd"
"223",0.0223889277091123,"CD8 Tcells","DWLS","uncorrected_gd"
"224",0.0368056726087156,"Proliferative Tcells","DWLS","uncorrected_gd"
"225",0.00475716895576284,"NK cells","DWLS","uncorrected_gd"
"226",0.36735038521294,"Cancer cells","DWLS","uncorrected_gdwoOthers"
"227",0.171673548373801,"Stromal cells","DWLS","uncorrected_gdwoOthers"
"228",0.0789282014546762,"Macro/mono Lineage","DWLS","uncorrected_gdwoOthers"
"229",0.27555289659968,"Bcells","DWLS","uncorrected_gdwoOthers"
"230",0.039730929302844,"CD4 Tcells","DWLS","uncorrected_gdwoOthers"
"231",0.0151371402958033,"Regulatory CD4 Tcells","DWLS","uncorrected_gdwoOthers"
"232",0.0243284014647067,"CD8 Tcells","DWLS","uncorrected_gdwoOthers"
"233",0.0366619496396009,"Proliferative Tcells","DWLS","uncorrected_gdwoOthers"
"234",0.00499416941866234,"NK cells","DWLS","uncorrected_gdwoOthers"
"235",0.647425505930284,"Cancer cells","MOMF","uncorrected_gd"
"236",0.281297747554072,"Stromal cells","MOMF","uncorrected_gd"
"237",0.0846164142759481,"Macro/mono Lineage","MOMF","uncorrected_gd"
